Numero_de_pontos;Numero_de_cluster;Numero_de_Blobs;Semente;FOB_Algoritmo_Proposto;FOB_Algoritmo_Original;FOB_BeB;Tempo_Algoritmo_Proposto;Tempo_Algoritmo_Original;Tempo_BeB
50.0;2.0;1.0;57199.0;67.14;72.84;67.14;0.09;0.02;0.17
50.0;2.0;2.0;57199.0;234.27;236.38;234.27;0.08;0.0;0.27
50.0;2.0;3.0;57199.0;941.03;944.31;941.03;0.06;0.0;0.19
50.0;2.0;4.0;57199.0;864.59;866.32;864.59;0.1;0.0;0.56
50.0;2.0;5.0;57199.0;2002.18;2006.33;2002.42;0.1;0.0;0.49
100.0;2.0;1.0;57199.0;135.15;141.16;135.15;0.13;0.01;0.42
100.0;2.0;2.0;57199.0;331.49;332.62;331.49;0.13;0.0;0.65
100.0;2.0;3.0;57199.0;1928.89;1945.42;1928.89;0.17;0.08;0.66
100.0;2.0;4.0;57199.0;1828.56;1831.93;1828.56;0.08;0.0;0.68
100.0;2.0;5.0;57199.0;4007.08;4011.83;4007.08;0.18;0.05;0.65
250.0;2.0;1.0;57199.0;318.4;322.5;300.64;1.38;0.04;0.62
250.0;2.0;2.0;57199.0;621.47;621.92;621.47;0.14;0.0;0.86
250.0;2.0;3.0;57199.0;4485.14;4514.33;4485.14;0.16;0.01;4.21
250.0;2.0;4.0;57199.0;4117.16;4126.26;4117.16;0.54;0.31;1.92
250.0;2.0;5.0;57199.0;10651.94;10658.49;9901.68;0.15;0.0;2.82
500.0;2.0;1.0;57199.0;609.16;609.66;609.16;0.31;0.1;100.54
500.0;2.0;2.0;57199.0;1054.01;1054.69;1054.01;0.25;0.01;1.78
500.0;2.0;3.0;57199.0;9307.03;9384.6;9307.03;0.29;0.01;5.1
500.0;2.0;4.0;57199.0;8364.69;8384.16;8364.69;0.22;0.01;4.02
500.0;2.0;5.0;57199.0;20048.79;20050.55;20048.79;0.35;0.01;1.97
1000.0;2.0;1.0;57199.0;1317.79;1318.02;1261.22;3.86;3.22;124.82
1000.0;2.0;2.0;57199.0;2073.03;2073.23;2073.03;0.77;0.02;1.5
1000.0;2.0;3.0;57199.0;18375.35;18507.78;18375.35;0.78;0.03;11.08
1000.0;2.0;4.0;57199.0;16454.49;16479.08;16454.49;4.61;0.46;104.76
1000.0;2.0;5.0;57199.0;39994.8;40037.63;39994.8;0.66;0.06;4.35
50.0;2.0;1.0;6648.0;64.51;76.38;64.51;0.23;0.09;18.54
50.0;2.0;2.0;6648.0;180.02;184.62;180.02;0.04;0.0;0.25
50.0;2.0;3.0;6648.0;1522.54;2025.84;1522.54;0.25;0.15;0.3
50.0;2.0;4.0;6648.0;1655.08;1660.7;1655.08;0.07;0.02;0.8
50.0;2.0;5.0;6648.0;2346.75;2368.35;2346.75;0.14;0.0;0.3
100.0;2.0;1.0;6648.0;134.0;135.74;131.58;0.13;0.06;100.65
100.0;2.0;2.0;6648.0;312.05;314.21;312.05;0.16;0.0;0.56
100.0;2.0;3.0;6648.0;3668.22;4266.13;3668.22;0.27;0.0;0.59
100.0;2.0;4.0;6648.0;3072.83;3112.61;3072.83;0.19;0.05;0.53
100.0;2.0;5.0;6648.0;4302.26;4826.97;4302.26;0.16;0.0;0.73
250.0;2.0;1.0;6648.0;338.64;356.77;338.72;0.84;0.12;0.63
250.0;2.0;2.0;6648.0;622.07;622.7;622.07;0.11;0.01;0.83
250.0;2.0;3.0;6648.0;8967.5;9798.48;8967.5;0.63;0.31;1.46
250.0;2.0;4.0;6648.0;7612.21;7613.03;7612.21;0.23;0.11;0.84
250.0;2.0;5.0;6648.0;10423.35;11336.4;10423.35;0.27;0.01;1.01
500.0;2.0;1.0;6648.0;662.06;662.34;649.43;0.48;0.13;0.85
500.0;2.0;2.0;6648.0;1103.16;1103.73;1103.16;0.22;0.01;1.88
500.0;2.0;3.0;6648.0;17958.11;19877.3;17958.19;1.02;0.65;2.89
500.0;2.0;4.0;6648.0;14352.62;14353.14;14352.62;0.18;0.01;2.05
500.0;2.0;5.0;6648.0;21082.39;21139.89;21082.39;0.46;0.21;14.1
1000.0;2.0;1.0;6648.0;1293.38;1306.01;NaN;8.74;1.67;36.07
1000.0;2.0;2.0;6648.0;2058.48;2058.71;2058.48;0.77;0.01;3.16
1000.0;2.0;3.0;6648.0;35760.28;38560.22;35760.28;0.89;0.03;8.25
1000.0;2.0;4.0;6648.0;28724.81;28724.98;28724.81;0.61;0.01;101.46
1000.0;2.0;5.0;6648.0;41989.87;47206.45;41989.87;1.92;0.92;10.49
50.0;2.0;1.0;3206.0;50.75;68.28;50.75;0.06;0.0;0.12
50.0;2.0;2.0;3206.0;169.98;176.75;169.98;0.07;0.0;0.24
50.0;2.0;3.0;3206.0;880.91;1073.58;880.91;0.11;0.0;0.38
50.0;2.0;4.0;3206.0;644.49;656.52;644.49;0.14;0.0;0.31
50.0;2.0;5.0;3206.0;640.34;655.56;640.34;0.1;0.0;0.17
100.0;2.0;1.0;3206.0;124.84;128.05;124.84;0.08;0.0;93.96
100.0;2.0;2.0;3206.0;271.35;275.04;271.35;0.14;0.0;0.33
100.0;2.0;3.0;3206.0;1583.51;1881.13;1583.51;0.16;0.0;0.29
100.0;2.0;4.0;3206.0;974.41;976.82;974.41;0.07;0.0;0.28
100.0;2.0;5.0;3206.0;1153.08;1175.45;1153.08;0.14;0.0;0.58
250.0;2.0;1.0;3206.0;319.03;320.27;305.87;0.4;0.3;0.47
250.0;2.0;2.0;3206.0;518.67;520.09;518.67;0.15;0.0;102.19
